date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:40	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-66a53ddd-3bfedf5a9fc75bd6;gz%22	https://lovepix.blog/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://lovepix.blog/escolhalover/)
13:58:40	338425/338425	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Aug%202024%2016:58:40%20GMT	https://appsofc.online/modelopixi/02.jpeg	C:/Users/osami/Desktop/etapa%20pos%20type/appsofc.online/modelopixi/02.jpg	(from https://lovepix.blog/escolhalover/)
13:58:41	116916/116916	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Aug%202024%2016:58:41%20GMT	https://appsofc.online/modelopixi/04.jpeg	C:/Users/osami/Desktop/etapa%20pos%20type/appsofc.online/modelopixi/04.jpg	(from https://lovepix.blog/escolhalover/)
13:58:41	63615/63615	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202024%2016:58:41%20GMT	https://lovepix.blog/escolhalover/grana.mp3	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/grana.mp3	(from https://lovepix.blog/escolhalover/)
13:58:41	63652/63652	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202024%2016:58:41%20GMT	https://lovepix.blog/escolhalover/js/jquery.js	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/js/jquery.js	(from https://lovepix.blog/escolhalover/)
13:58:41	63652/63652	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202024%2016:58:41%20GMT	https://lovepix.blog/escolhalover/js/script.js	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/js/script.js	(from https://lovepix.blog/escolhalover/)
13:58:41	10383/10383	---M-Z	200	added ('OK')	application/x-javascript	etag:%22288f-66b45a4a-e22b9967c4d86af;gz%22	https://lovepix.blog/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=5.9.27	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min9cb2.js	(from https://lovepix.blog/escolhalover/)
13:58:42	6059/6059	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217ab-66a54b30-72d7fd1144be0c4d;gz%22	https://lovepix.blog/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min.js?ver=3.23.1	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min93d8.js	(from https://lovepix.blog/escolhalover/)
13:58:42	4997/4997	---M-Z	200	added ('OK')	application/x-javascript	etag:%221385-66a54afc-1f281e259849ea39;gz%22	https://lovepix.blog/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.23.3	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/elementor/assets/js/webpack.runtime.min28fc.js	(from https://lovepix.blog/escolhalover/)
13:58:42	73568/73568	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211f60-66a54afc-e97e6572918a1f40;gz%22	https://lovepix.blog/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.23.3	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/elementor/assets/js/frontend-modules.min28fc.js	(from https://lovepix.blog/escolhalover/)
13:58:42	4307/4307	---M-Z	200	added ('OK')	application/x-javascript	etag:%2210d3-66a53ddd-34cbbd807732816e;gz%22	https://lovepix.blog/wp-includes/js/dist/hooks.min.js?ver=2810c76e705dd1a53b18	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-includes/js/dist/hooks.min2757.js	(from https://lovepix.blog/escolhalover/)
13:58:43	9141/9141	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223b5-66a53ddd-a0bb78679c2468cb;gz%22	https://lovepix.blog/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-includes/js/dist/i18n.minc33c.js	(from https://lovepix.blog/escolhalover/)
13:58:43	25049/25049	---M-Z	200	added ('OK')	application/x-javascript	etag:%2261d9-66a54b30-bf21ce5ecf69d65c;gz%22	https://lovepix.blog/wp-content/plugins/pro-elements/assets/js/frontend.min.js?ver=3.23.1	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/pro-elements/assets/js/frontend.min93d8.js	(from https://lovepix.blog/escolhalover/)
13:58:43	12198/12198	---M-Z	200	added ('OK')	application/x-javascript	etag:%222fa6-66a54afc-db377ac50e740975;gz%22	https://lovepix.blog/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://lovepix.blog/escolhalover/)
13:58:43	21464/21464	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253d8-66a53ddd-da09fdbfaa2e90a5;gz%22	https://lovepix.blog/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-includes/js/jquery/ui/core.minb37e.js	(from https://lovepix.blog/escolhalover/)
13:58:43	40249/40249	---M-Z	200	added ('OK')	application/x-javascript	etag:%229d39-66a54afc-4262d87b50869474;gz%22	https://lovepix.blog/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.3	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/elementor/assets/js/frontend.min28fc.js	(from https://lovepix.blog/escolhalover/)
13:58:44	42584/42584	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a658-66a54b30-1291982c0ef1ad8a;gz%22	https://lovepix.blog/wp-content/plugins/pro-elements/assets/js/elements-handlers.min.js?ver=3.23.1	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/pro-elements/assets/js/elements-handlers.min93d8.js	(from https://lovepix.blog/escolhalover/)
13:58:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Aug%202024%2016:58:44%20GMT	https://lovepix.blog/escolhalover/e	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/e	(from https://lovepix.blog/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=5.9.27)
13:58:45	63615/63615	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202024%2016:58:45%20GMT	https://lovepix.blog/escolhalover/-negative.svg	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/-negative.svg	(from https://lovepix.blog/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.3)
13:58:45	63615/63615	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202024%2016:58:45%20GMT	https://lovepix.blog/escolhalover/OPR/	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/OPR/index.html	(from https://lovepix.blog/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.3)
13:58:45	63615/63615	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202024%2016:58:45%20GMT	https://lovepix.blog/escolhalover/window.location.href	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/window.location.href	(from https://lovepix.blog/wp-content/plugins/pro-elements/assets/js/elements-handlers.min.js?ver=3.23.1)
